1,Brad Rajani,76-54,Atlanta Reign ,1,2,3,4,5
2,Kim Seung-hyun,27-40,Boston Uprising,6,7,8,9,10
3,Zhang Jihang,74-55,Chengdu Hunters,11,12,13,14,15
4,Aaron Atkins,86-57,Dallas Fuel,16,17,18,19,20
5,Gunba,37-46,Florida Mayhem,21,22,23,24,25
6,Lee Ji-won,20-38,Guangzhou Charge,26,27,28,29,30
7,Sehyun Park,34-37,Hangzhou Spark,31,32,33,34,35
8,Choi Jae-won,36-33,Houston Outlaws,36,37,38,39,40
9,Christopher Graham,12-47,London Spitfire,41,42,43,44,45
10,Sam Merewether,66-41,Los Angeles Gladitors,46,47,48,49,46
11,Moon Byung-chul,13-52,Los Angeles Valiant,51,52,53,54,55
12,Kim Dae-kuk,33-45,New York Excelsior,56,57,58,59,60
13,Choi Dae-han,36-71,Paris Eternal,61,62,63,64,65
14,Yann Luu,49-38,Philadelphia Fusion,66,67,68,69,70
15,Park Dae-hee,58-73,San Francisco Shock,71,72,73,74,75
16,Baek Kwang-jin,48-41,Seoul Dynasty,76,77,78,79,80
17,Moon Byung-chul,90-41,Shanghai Dragons,81,82,83,84,85
18,Dennis Matz,38-42,Toronto Defiant,86,87,88,89,90
19,Steven Coronel,20-45,Vancouver Titans,91,92,93,94,95
20,Min-Hyung Park,90-41,Washington Justice,96,97,98,99,100
